"Date","Geo Port","Inflation"
"1971-07-13",11405.35,10780.35
"1971-07-14",11408.95,10781.21
"1971-07-15",11405.65,10782.07
"1971-07-16",11420.61,10782.92
"1971-07-19",11386.59,10785.49
"1971-07-20",11397.07,10786.34
"1971-07-21",11398.87,10787.2
"1971-07-22",11380.5,10788.06
"1971-07-23",11326.76,10788.91
"1971-07-26",11279.08,10791.48
"1971-07-27",11208.23,10792.33
"1971-07-28",11117.34,10793.19
"1971-07-29",11053.66,10794.04
"1971-07-30",11029.48,10794.9
"1971-08-02",11090.74,10797.47
"1971-08-03",10907.01,10798.32
"1971-08-04",10856.99,10799.18
"1971-08-05",10931.18,10800.03
"1971-08-06",10905.54,10800.89
"1971-08-09",10898.96,10803.46
"1971-08-10",10874.59,10804.31
"1971-08-11",10964.24,10805.17
"1971-08-12",11126.47,10806.02
"1971-08-13",11132.86,10806.88
"1971-08-16",11534.02,10809.45
"1971-08-17",11640.02,10810.3
"1971-08-18",11486.46,10811.16
"1971-08-19",11419.88,10812.01
"1971-08-20",11417.9,10812.87
"1971-08-23",11483.81,10815.44
"1971-08-24",11583.68,10816.29
"1971-08-25",11543.28,10817.15
"1971-08-26",11492.73,10818
"1971-08-27",11478.68,10818.86
"1971-08-30",11404.77,10821.43
"1971-08-31",11352.58,10822.28
"1971-09-01",11385.71,10822.28
"1971-09-02",11442.21,10822.28
"1971-09-03",11611.88,10822.28
"1971-09-07",11683.85,10822.28
"1971-09-08",11719.23,10822.28
"1971-09-09",11672.75,10822.28
"1971-09-10",11575.82,10822.28
"1971-09-13",11523.22,10822.28
"1971-09-14",11422.18,10822.28
"1971-09-15",11450.84,10822.28
"1971-09-16",11475.74,10822.28
"1971-09-17",11506.64,10822.28
"1971-09-20",11459.48,10822.28
"1971-09-21",11395.14,10822.28
"1971-09-22",11298.58,10822.28
"1971-09-23",11284.86,10822.28
"1971-09-24",11334.82,10822.28
"1971-09-27",11300.41,10822.28
"1971-09-28",11369.92,10822.28
"1971-09-29",11346.22,10822.28
"1971-09-30",11429.08,10822.28
"1971-10-01",11508.04,10823.14
"1971-10-04",11563.9,10825.7
"1971-10-05",11539.75,10826.56
"1971-10-06",11607.69,10827.42
"1971-10-07",11654.72,10828.27
"1971-10-08",11564.72,10829.13
"1971-10-11",11528.41,10831.69
"1971-10-12",11560.89,10832.55
"1971-10-13",11525,10833.4
"1971-10-14",11420.9,10834.26
"1971-10-15",11406.98,10835.12
"1971-10-18",11367.4,10837.68
"1971-10-19",11349.96,10838.54
"1971-10-20",11213.12,10839.39
"1971-10-21",11196.18,10840.25
"1971-10-22",11134.22,10841.11
"1971-10-25",11057.24,10843.67
"1971-10-26",11005.59,10844.53
"1971-10-27",10894.34,10845.38
"1971-10-28",10901.64,10846.24
"1971-10-29",10969.15,10847.1
"1971-11-01",10861.55,10848.81
"1971-11-02",10888.4,10848.81
"1971-11-03",11077.13,10848.81
"1971-11-04",11058.11,10848.81
"1971-11-05",11019.09,10848.81
"1971-11-08",10996.01,10848.81
"1971-11-09",11034.37,10848.81
"1971-11-10",10943.84,10848.81
"1971-11-11",10846.95,10848.81
"1971-11-12",10860.29,10848.81
"1971-11-15",10850.25,10848.81
"1971-11-16",10952.49,10848.81
"1971-11-17",10911.78,10848.81
"1971-11-18",10859.86,10848.81
"1971-11-19",10814.92,10848.81
"1971-11-22",10724.94,10848.81
"1971-11-23",10607.73,10848.81
"1971-11-24",10625.84,10848.81
"1971-11-26",10772.05,10848.81
"1971-11-29",10946.67,10848.81
"1971-11-30",11038.21,10848.81
"1971-12-01",11186.46,10850.52
"1971-12-02",11207.28,10852.23
"1971-12-03",11356.16,10853.94
"1971-12-06",11328.4,10859.07
"1971-12-07",11395.98,10860.79
"1971-12-08",11320.78,10862.5
"1971-12-09",11395.02,10864.21
"1971-12-10",11513.1,10865.92
"1971-12-13",11576.11,10871.05
"1971-12-14",11493.12,10872.76
"1971-12-15",11590.68,10874.48
"1971-12-16",11732.71,10876.19
"1971-12-17",11753.26,10877.9
"1971-12-20",11887.53,10883.03
"1971-12-21",11921.63,10884.74
"1971-12-22",11845.5,10886.46
"1971-12-23",11842.36,10888.17
"1971-12-27",11926.75,10895.01
"1971-12-28",12155.68,10896.72
"1971-12-29",12220.98,10898.43
"1971-12-30",12232.32,10900.15
"1971-12-31",12312.54,10901.86
"1972-01-03",12235.54,10901.86
"1972-01-04",12340.93,10901.86
